Date,Node ID,Time Stamp,Temperature (C),Relative Humidity % ,Load Cell,IR Spec,Full Spec,Battery Voltage,RSSI (Radio Strength)
3/5/2018,100,17:19_3/5,23.459,34.302,-0.491329,29,188,3.8,-50
3/5/2018,100,17:20_3/5,23.366,34.547,-0.486613,29,187,3.8,-49
3/5/2018,100,17:21_3/5,23.47,34.762,-0.491107,29,189,3.8,-49
3/5/2018,100,17:21_3/5,23.47,34.762,-0.491107,29,189,3.8,-49
3/5/2018,100,17:23_3/5,23.515,34.8,-0.491074,29,188,3.8,-48
3/5/2018,100,17:24_3/5,23.515,34.718,-0.491317,29,188,3.8,-51
3/5/2018,100,17:25_3/5,23.498,34.387,-0.491342,29,189,3.8,-51
3/5/2018,100,17:26_3/5,23.501,34.518,-0.491186,28,185,3.8,-47
3/5/2018,100,17:27_3/5,23.787,35.923,-0.547542,21,109,3.8,-41
3/5/2018,100,17:28_3/5,23.905,33.82,-0.491944,27,174,3.8,-40
3/5/2018,100,17:29_3/5,23.694,34.337,-0.491171,27,173,3.8,-42
3/5/2018,100,17:30_3/5,23.543,34.838,-0.4909,27,173,3.8,-40
3/5/2018,100,17:31_3/5,23.515,34.415,-0.490762,27,174,3.8,-42
3/5/2018,100,17:31_3/5,23.515,34.415,-0.490762,27,174,3.8,-41
3/5/2018,100,17:33_3/5,23.378,34.297,-0.490925,27,173,3.8,-40
3/5/2018,100,17:34_3/5,23.254,34.431,-0.490739,27,171,3.8,-40
3/5/2018,100,17:35_3/5,23.352,34.545,-0.490782,28,176,3.8,-40
3/5/2018,100,17:36_3/5,23.478,34.31,-0.490846,28,176,3.8,-40
3/5/2018,100,17:37_3/5,23.459,34.023,-0.490647,27,175,3.8,-40
3/5/2018,100,17:38_3/5,23.2,34.549,-0.490598,27,175,3.8,-40
3/5/2018,100,17:39_3/5,23.046,33.236,-0.490715,27,174,3.8,-40
3/5/2018,100,17:40_3/5,23.035,34.358,-0.490607,27,174,3.8,-39
3/5/2018,100,17:41_3/5,23.069,34.709,-0.490654,28,176,3.8,-40
3/5/2018,100,17:42_3/5,23.203,34.35,-0.490587,26,170,3.8,-41
3/5/2018,100,17:44_3/5,23.208,34.617,-0.490516,26,170,3.8,-40
3/5/2018,100,17:45_3/5,23.438,34.586,-0.490717,27,172,3.8,-39
3/5/2018,100,17:46_3/5,23.234,33.973,-0.490733,27,175,3.8,-40
3/5/2018,100,17:47_3/5,23.136,34.345,-0.49059,26,171,3.8,-38
3/5/2018,100,17:48_3/5,23.086,34.011,-0.490609,26,171,3.8,-40
3/5/2018,100,17:49_3/5,22.866,34.474,-0.490402,27,172,3.8,-40
3/5/2018,100,17:50_3/5,22.963,34.214,-0.490343,27,173,3.8,-40
3/5/2018,100,17:51_3/5,23.081,34.137,-0.490446,27,174,3.8,-40
3/5/2018,100,17:52_3/5,23.015,34.495,-0.490349,27,174,3.8,-41
3/5/2018,100,17:53_3/5,23.075,34.444,-0.490487,28,178,3.8,-40
3/5/2018,100,17:55_3/5,22.939,34.163,-0.490413,27,174,3.8,-41
3/5/2018,100,17:55_3/5,22.939,34.163,-0.490413,27,174,3.8,-40
3/5/2018,100,17:56_3/5,23.024,34.205,-0.490348,28,178,3.8,-40
3/5/2018,100,17:57_3/5,22.925,34.463,-0.490441,28,180,3.8,-40
3/5/2018,100,17:58_3/5,23.169,34.779,-0.49051,29,182,3.8,-42
3/5/2018,100,17:59_3/5,23.139,34.548,-0.490397,29,182,3.8,-40
3/5/2018,100,18:0_3/5,23.262,34.443,-0.490465,29,181,3.8,-41
3/5/2018,100,18:1_3/5,23.211,33.885,-0.490385,27,173,3.8,-40
3/5/2018,100,18:2_3/5,23.155,33.469,-0.49014,27,174,3.8,-40
3/5/2018,100,18:3_3/5,22.99,33.955,-0.4901,27,175,3.8,-41
3/5/2018,100,18:4_3/5,22.895,34.13,-0.490126,29,181,3.8,-40
3/5/2018,100,18:6_3/5,22.895,34.489,-0.490203,28,180,3.8,-40
3/5/2018,100,18:7_3/5,23.214,34.388,-0.490226,29,183,3.8,-39
3/5/2018,100,18:8_3/5,23.398,33.606,-0.490174,28,178,3.8,-41
3/5/2018,100,18:9_3/5,23.526,33.455,-0.49063,28,178,3.8,-40
3/5/2018,100,18:10_3/5,23.454,33.542,-0.488821,30,186,3.8,-48
3/5/2018,100,18:11_3/5,23.486,33.543,-0.487635,29,183,3.8,-40
3/5/2018,100,18:12_3/5,23.278,33.293,-0.48882,30,188,3.8,-44
3/5/2018,100,18:13_3/5,23.078,32.97,-0.488807,31,193,3.8,-41
3/5/2018,100,18:14_3/5,23.066,32.908,-0.488752,31,193,3.8,-40
3/5/2018,100,18:16_3/5,22.965,32.77,-0.488728,31,193,3.8,-42
